/home/runner/work/email-client/email-client/input/email-client.xml:12:42: error: element "Module" not allowed anywhere; expected element "PP"
/home/runner/work/email-client/email-client/input/email-client.xml:16:18: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/email-client/email-client/input/email-client.xml:21:17: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/email-client/email-client/input/email-client.xml:28:21: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/email-client/email-client/input/email-client.xml:32:20: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/email-client/email-client/input/email-client.xml:195:22: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/email-client/email-client/input/email-client.xml:228:30: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/email-client/email-client/input/email-client.xml:248:25: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/email-client/email-client/input/email-client.xml:266:29: error: element "from" not allowed anywhere; expected element "description"
/home/runner/work/email-client/email-client/input/email-client.xml:267:56: error: element "objective-refer" not allowed yet; missing required element "description"
/home/runner/work/email-client/email-client/input/email-client.xml:280:29: error: element "from" not allowed anywhere; expected element "description"
/home/runner/work/email-client/email-client/input/email-client.xml:281:56: error: element "objective-refer" not allowed yet; missing required element "description"
/home/runner/work/email-client/email-client/input/email-client.xml:297:29: error: element "from" not allowed anywhere; expected element "description"
/home/runner/work/email-client/email-client/input/email-client.xml:298:58: error: element "objective-refer" not allowed yet; missing required element "description"
/home/runner/work/email-client/email-client/input/email-client.xml:317:39: error: element "objective-refer" not allowed yet; missing required element "description"
/home/runner/work/email-client/email-client/input/email-client.xml:327:30: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/email-client/email-client/input/email-client.xml:338:30: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/email-client/email-client/input/email-client.xml:356:30: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/email-client/email-client/input/email-client.xml:374:30: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/email-client/email-client/input/email-client.xml:405:27: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/email-client/email-client/input/email-client.xml:408:27: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:412:15: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:413:83: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:455:23: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:483:23: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:509:23: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:518:16: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:518:23: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:529:16: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:529:23: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:538:16: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:538:23: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:549:17: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:946:16: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:1033:16: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:1095:16: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:1238:16: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:1282:16: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/email-client/email-client/input/email-client.xml:1349:16: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
